00:00,CPU:63.6,MEM:44.85
00:01,CPU:28.6,MEM:44.68
00:02,CPU:28.6,MEM:44.71
00:03,CPU:37.5,MEM:44.73
00:04,CPU:16.7,MEM:44.73
00:05,CPU:16.7,MEM:44.71
00:06,CPU:16.7,MEM:44.72
00:07,CPU:28.6,MEM:44.72
00:08,CPU:62.5,MEM:44.75
00:09,CPU:37.5,MEM:44.70
00:10,CPU:44.4,MEM:44.70
00:11,CPU:28.6,MEM:44.70
00:12,CPU:33.3,MEM:44.71
00:13,CPU:20,MEM:44.68
00:14,CPU:20,MEM:44.70
00:15,CPU:37.5,MEM:44.70
00:16,CPU:33.3,MEM:44.72
00:17,CPU:0,MEM:44.73
00:18,CPU:0,MEM:44.71
00:19,CPU:28.6,MEM:44.72
00:20,CPU:37.5,MEM:44.71
00:21,CPU:16.7,MEM:44.71
00:22,CPU:37.5,MEM:44.72
00:23,CPU:28.6,MEM:44.72
00:24,CPU:37.5,MEM:44.71
00:25,CPU:20,MEM:44.71
00:26,CPU:37.5,MEM:44.71
00:27,CPU:37.5,MEM:44.72
00:28,CPU:50,MEM:44.71
00:29,CPU:54.5,MEM:44.69
00:30,CPU:20,MEM:44.71
00:31,CPU:37.5,MEM:44.72
00:32,CPU:28.6,MEM:44.69
00:33,CPU:44.4,MEM:44.74
00:34,CPU:50,MEM:44.72
00:35,CPU:42.9,MEM:44.73
00:36,CPU:16.7,MEM:44.71
00:37,CPU:0,MEM:44.73
00:38,CPU:20,MEM:44.71
00:39,CPU:50,MEM:44.71
00:40,CPU:44.4,MEM:44.71
00:41,CPU:16.7,MEM:44.73
00:42,CPU:55.6,MEM:44.70
00:43,CPU:28.6,MEM:44.72
00:44,CPU:20,MEM:44.69
00:45,CPU:42.9,MEM:44.71
00:46,CPU:28.6,MEM:44.71
00:47,CPU:37.5,MEM:44.69
00:48,CPU:33.3,MEM:44.70
00:49,CPU:33.3,MEM:44.72
00:50,CPU:16.7,MEM:44.71
00:51,CPU:16.7,MEM:44.72
00:52,CPU:20,MEM:44.70
00:53,CPU:33.3,MEM:44.58
00:54,CPU:0,MEM:44.57
00:55,CPU:0,MEM:44.58
00:56,CPU:0,MEM:18.89
00:57,CPU:33.3,MEM:18.75
00:58,CPU:16.7,MEM:18.77
00:59,CPU:0,MEM:18.81
01:00,CPU:0,MEM:18.91
01:01,CPU:0,MEM:18.95
01:02,CPU:0,MEM:18.94
01:03,CPU:0,MEM:18.93
01:04,CPU:16.7,MEM:18.94
01:05,CPU:16.7,MEM:18.94
01:06,CPU:16.7,MEM:18.97
01:07,CPU:16.7,MEM:18.97
