00:00,CPU:4.2,MEM:43.39
00:01,CPU:25,MEM:43.11
00:02,CPU:0,MEM:43.13
00:03,CPU:0,MEM:43.13
00:04,CPU:0,MEM:43.13
00:05,CPU:12.5,MEM:43.13
00:06,CPU:12.5,MEM:43.10
00:07,CPU:14.3,MEM:43.11
00:08,CPU:0,MEM:43.13
00:09,CPU:14.3,MEM:43.11
00:10,CPU:0,MEM:43.09
00:11,CPU:12.5,MEM:43.12
00:12,CPU:12.5,MEM:43.11
00:13,CPU:0,MEM:43.13
00:14,CPU:14.3,MEM:43.12
00:15,CPU:14.3,MEM:43.12
00:16,CPU:14.3,MEM:43.09
00:17,CPU:12.5,MEM:43.09
00:18,CPU:0,MEM:43.10
00:19,CPU:14.3,MEM:43.13
00:20,CPU:40,MEM:43.16
00:21,CPU:12.5,MEM:43.08
00:22,CPU:14.3,MEM:43.09
00:23,CPU:25,MEM:43.09
00:24,CPU:22.2,MEM:43.11
00:25,CPU:22.2,MEM:43.08
00:26,CPU:14.3,MEM:43.11
00:27,CPU:0,MEM:43.11
00:28,CPU:12.5,MEM:43.09
00:29,CPU:14.3,MEM:43.12
00:30,CPU:0,MEM:43.10
00:31,CPU:14.3,MEM:43.08
00:32,CPU:14.3,MEM:43.04
00:33,CPU:0,MEM:43.07
00:34,CPU:0,MEM:43.09
00:35,CPU:14.3,MEM:43.07
00:36,CPU:0,MEM:43.06
00:37,CPU:0,MEM:43.12
00:38,CPU:33.3,MEM:43.11
00:39,CPU:0,MEM:43.13
00:40,CPU:0,MEM:43.13
00:41,CPU:14.3,MEM:43.07
00:42,CPU:22.2,MEM:43.10
00:43,CPU:0,MEM:43.11
00:44,CPU:14.3,MEM:43.12
00:45,CPU:14.3,MEM:43.09
00:46,CPU:12.5,MEM:43.17
00:47,CPU:12.5,MEM:43.15
00:48,CPU:12.5,MEM:43.15
00:49,CPU:0,MEM:43.08
00:50,CPU:0,MEM:43.12
00:51,CPU:14.3,MEM:43.09
00:52,CPU:0,MEM:43.07
00:53,CPU:0,MEM:43.11
00:54,CPU:14.3,MEM:43.11
00:55,CPU:14.3,MEM:43.11
00:56,CPU:12.5,MEM:43.09
00:57,CPU:0,MEM:43.10
00:58,CPU:0,MEM:43.16
00:59,CPU:22.2,MEM:43.13
01:00,CPU:14.3,MEM:43.13
01:01,CPU:0,MEM:43.11
01:02,CPU:0,MEM:43.11
01:03,CPU:0,MEM:43.11
01:04,CPU:14.3,MEM:43.11
01:05,CPU:14.3,MEM:43.19
01:06,CPU:0,MEM:43.12
01:07,CPU:14.3,MEM:43.15
01:08,CPU:14.3,MEM:43.15
01:09,CPU:0,MEM:43.13
01:10,CPU:14.3,MEM:43.13
01:11,CPU:14.3,MEM:43.18
01:12,CPU:0,MEM:43.17
