00:00,CPU:4,MEM:62.47
00:01,CPU:15.4,MEM:62.48
00:02,CPU:8.3,MEM:62.34
00:03,CPU:8.3,MEM:62.26
00:04,CPU:8.3,MEM:62.19
00:05,CPU:9.1,MEM:62.26
00:06,CPU:7.7,MEM:62.27
00:07,CPU:14.3,MEM:62.22
00:08,CPU:0,MEM:62.26
00:09,CPU:8.3,MEM:62.32
00:10,CPU:7.7,MEM:62.24
00:11,CPU:16.7,MEM:62.30
00:12,CPU:8.3,MEM:62.31
00:13,CPU:8.3,MEM:62.25
00:14,CPU:15.4,MEM:62.29
00:15,CPU:7.7,MEM:62.30
00:16,CPU:9.1,MEM:62.29
00:17,CPU:15.4,MEM:62.28
00:18,CPU:8.3,MEM:62.38
00:19,CPU:8.3,MEM:62.27
00:20,CPU:15.4,MEM:62.29
00:21,CPU:8.3,MEM:62.31
00:22,CPU:15.4,MEM:62.39
00:23,CPU:28.6,MEM:62.35
00:24,CPU:8.3,MEM:62.29
00:25,CPU:8.3,MEM:62.33
00:26,CPU:8.3,MEM:62.29
00:27,CPU:8.3,MEM:62.30
00:28,CPU:8.3,MEM:62.36
00:29,CPU:8.3,MEM:62.33
00:30,CPU:9.1,MEM:62.33
00:31,CPU:7.7,MEM:62.26
00:32,CPU:8.3,MEM:62.37
00:33,CPU:9.1,MEM:62.29
00:34,CPU:15.4,MEM:62.37
00:35,CPU:7.7,MEM:62.37
00:36,CPU:8.3,MEM:62.53
00:37,CPU:8.3,MEM:62.33
00:38,CPU:8.3,MEM:62.24
00:39,CPU:9.1,MEM:62.28
00:40,CPU:8.3,MEM:62.29
00:41,CPU:15.4,MEM:63.00
00:42,CPU:8.3,MEM:62.21
00:43,CPU:0,MEM:62.25
00:44,CPU:0,MEM:62.28
00:45,CPU:14.3,MEM:62.27
00:46,CPU:8.3,MEM:62.82
00:47,CPU:8.3,MEM:62.32
00:48,CPU:7.7,MEM:62.31
00:49,CPU:16.7,MEM:62.32
00:50,CPU:9.1,MEM:62.24
00:51,CPU:15.4,MEM:62.48
00:52,CPU:15.4,MEM:62.33
00:53,CPU:7.7,MEM:62.27
00:54,CPU:8.3,MEM:62.34
00:55,CPU:7.7,MEM:62.33
00:56,CPU:0,MEM:62.28
00:57,CPU:15.4,MEM:62.31
00:58,CPU:16.7,MEM:62.29
00:59,CPU:8.3,MEM:62.23
01:00,CPU:7.7,MEM:62.23
01:01,CPU:8.3,MEM:62.28
01:02,CPU:15.4,MEM:62.34
01:03,CPU:8.3,MEM:62.24
01:04,CPU:8.3,MEM:62.25
01:05,CPU:0,MEM:62.27
01:06,CPU:8.3,MEM:62.34
01:07,CPU:8.3,MEM:62.20
01:08,CPU:8.3,MEM:62.30
01:09,CPU:0,MEM:62.25
01:10,CPU:7.7,MEM:62.20
01:11,CPU:8.3,MEM:62.23
01:12,CPU:7.7,MEM:62.22
01:13,CPU:16.7,MEM:62.23
01:14,CPU:8.3,MEM:62.22
01:15,CPU:5.4,MEM:62.15
01:16,CPU:8.3,MEM:62.29
01:17,CPU:0,MEM:62.28
01:18,CPU:8.3,MEM:62.21
01:19,CPU:15.4,MEM:62.32
01:20,CPU:8.3,MEM:62.20
01:21,CPU:14.3,MEM:62.21
01:22,CPU:7.7,MEM:62.25
01:23,CPU:15.4,MEM:62.27
01:24,CPU:8.3,MEM:62.23
01:25,CPU:7.7,MEM:62.26
01:26,CPU:15.4,MEM:62.35
01:27,CPU:8.3,MEM:62.24
01:28,CPU:7.7,MEM:62.26
01:29,CPU:8.3,MEM:62.28
01:30,CPU:14.3,MEM:62.31
01:31,CPU:20,MEM:62.29
01:32,CPU:15.4,MEM:62.40
01:33,CPU:15.4,MEM:62.30
01:34,CPU:14.3,MEM:62.28
01:35,CPU:14.3,MEM:62.22
01:36,CPU:23.1,MEM:62.24
01:37,CPU:7.7,MEM:62.51
01:38,CPU:7.7,MEM:62.21
01:39,CPU:8.3,MEM:62.24
01:40,CPU:8.3,MEM:62.24
01:41,CPU:8.3,MEM:62.26
01:42,CPU:7.7,MEM:62.57
01:43,CPU:15.4,MEM:62.18
01:44,CPU:8.3,MEM:62.26
01:45,CPU:8.3,MEM:62.29
01:46,CPU:9.1,MEM:62.18
01:47,CPU:16.7,MEM:63.24
01:48,CPU:15.4,MEM:62.29
01:49,CPU:8.3,MEM:62.30
01:50,CPU:7.7,MEM:62.25
01:51,CPU:0,MEM:62.31
01:52,CPU:8.3,MEM:62.38
01:53,CPU:8.3,MEM:62.20
01:54,CPU:8.3,MEM:62.13
01:55,CPU:8.3,MEM:62.25
01:56,CPU:8.3,MEM:62.25
01:57,CPU:0,MEM:62.34
01:58,CPU:8.3,MEM:62.29
01:59,CPU:8.3,MEM:62.30
02:00,CPU:21.4,MEM:62.23
02:01,CPU:42.9,MEM:62.28
02:02,CPU:7.7,MEM:62.37
02:03,CPU:8.3,MEM:62.29
02:04,CPU:21.4,MEM:62.31
02:05,CPU:8.3,MEM:62.31
02:06,CPU:7.7,MEM:62.29
02:07,CPU:15.4,MEM:62.27
02:08,CPU:8.3,MEM:62.24
02:09,CPU:8.3,MEM:62.32
02:10,CPU:8.3,MEM:62.19
02:11,CPU:14.3,MEM:62.26
02:12,CPU:8.3,MEM:62.31
02:13,CPU:8.3,MEM:62.25
02:14,CPU:21.4,MEM:62.25
02:15,CPU:8.3,MEM:62.21
02:16,CPU:8.3,MEM:62.22
02:17,CPU:16.7,MEM:62.22
02:18,CPU:7.7,MEM:62.19
02:19,CPU:15.4,MEM:62.19
02:20,CPU:7.7,MEM:62.22
02:21,CPU:8.3,MEM:62.33
02:22,CPU:7.7,MEM:62.32
02:23,CPU:8.3,MEM:62.31
02:24,CPU:8.3,MEM:62.32
02:25,CPU:8.3,MEM:62.33
02:26,CPU:16.7,MEM:62.33
02:27,CPU:26.7,MEM:62.28
02:28,CPU:8.3,MEM:62.27
02:29,CPU:14.3,MEM:62.25
02:30,CPU:35.7,MEM:62.76
02:31,CPU:33.3,MEM:63.03
02:32,CPU:14.3,MEM:61.93
02:33,CPU:14.3,MEM:62.13
02:34,CPU:7.7,MEM:62.16
02:35,CPU:15.4,MEM:62.25
02:36,CPU:15.4,MEM:62.26
02:37,CPU:8.3,MEM:62.28
02:38,CPU:0,MEM:62.41
02:39,CPU:23.1,MEM:62.25
02:40,CPU:7.7,MEM:62.20
02:41,CPU:14.3,MEM:62.31
02:42,CPU:15.4,MEM:62.32
02:43,CPU:7.7,MEM:62.93
02:44,CPU:7.7,MEM:62.23
02:45,CPU:7.7,MEM:62.24
02:46,CPU:7.7,MEM:62.24
02:47,CPU:0,MEM:62.23
02:48,CPU:23.1,MEM:63.13
02:49,CPU:20,MEM:62.33
02:50,CPU:8.3,MEM:62.25
02:51,CPU:15.4,MEM:62.33
02:52,CPU:8.3,MEM:62.24
02:53,CPU:0,MEM:62.19
02:54,CPU:8.3,MEM:62.28
02:55,CPU:7.7,MEM:62.25
02:56,CPU:8.3,MEM:62.25
02:57,CPU:15.4,MEM:62.30
02:58,CPU:8.3,MEM:62.28
02:59,CPU:8.3,MEM:62.32
03:00,CPU:7.7,MEM:62.23
03:01,CPU:8.3,MEM:62.24
03:02,CPU:9.1,MEM:62.42
03:03,CPU:8.3,MEM:62.29
03:04,CPU:8.3,MEM:62.34
03:05,CPU:8.3,MEM:62.26
03:06,CPU:8.3,MEM:62.32
03:07,CPU:28.6,MEM:62.14
03:08,CPU:8.3,MEM:62.18
03:09,CPU:8.3,MEM:62.32
03:10,CPU:14.3,MEM:62.29
03:11,CPU:15.4,MEM:62.30
03:12,CPU:8.3,MEM:62.37
03:13,CPU:15.4,MEM:62.29
03:14,CPU:8.3,MEM:62.23
03:15,CPU:7.7,MEM:62.32
03:16,CPU:0,MEM:62.27
03:17,CPU:16.7,MEM:62.22
03:18,CPU:7.7,MEM:62.28
03:19,CPU:8.3,MEM:62.27
03:20,CPU:9.1,MEM:62.25
03:21,CPU:8.3,MEM:62.38
03:22,CPU:8.3,MEM:62.24
03:23,CPU:23.1,MEM:62.30
03:24,CPU:8.3,MEM:62.38
03:25,CPU:7.7,MEM:62.30
03:26,CPU:15.4,MEM:62.33
03:27,CPU:15.4,MEM:62.31
03:28,CPU:14.3,MEM:62.31
03:29,CPU:15.4,MEM:62.32
03:30,CPU:8.3,MEM:62.36
03:31,CPU:15.4,MEM:62.34
03:32,CPU:7.7,MEM:62.23
03:33,CPU:7.7,MEM:62.24
03:34,CPU:8.3,MEM:62.51
03:35,CPU:21.4,MEM:62.34
03:36,CPU:0,MEM:62.29
03:37,CPU:8.3,MEM:62.23
03:38,CPU:14.3,MEM:62.33
03:39,CPU:8.3,MEM:62.74
03:40,CPU:8.3,MEM:62.30
03:41,CPU:8.3,MEM:62.32
03:42,CPU:15.4,MEM:62.38
03:43,CPU:8.3,MEM:62.34
03:44,CPU:8.3,MEM:62.97
03:45,CPU:8.3,MEM:62.43
03:46,CPU:21.4,MEM:62.34
03:47,CPU:8.3,MEM:62.28
03:48,CPU:8.3,MEM:62.38
03:49,CPU:16.7,MEM:63.15
03:50,CPU:8.3,MEM:62.25
03:51,CPU:15.4,MEM:62.42
03:52,CPU:23.1,MEM:62.29
03:53,CPU:8.3,MEM:62.31
03:54,CPU:14.3,MEM:62.25
03:55,CPU:15.4,MEM:62.32
03:56,CPU:9.1,MEM:62.31
03:57,CPU:7.7,MEM:62.26
03:58,CPU:21.4,MEM:62.24
03:59,CPU:7.7,MEM:62.34
04:00,CPU:0,MEM:62.35
04:01,CPU:30.8,MEM:62.35
04:02,CPU:15.4,MEM:62.29
04:03,CPU:8.3,MEM:62.30
04:04,CPU:15.4,MEM:62.33
04:05,CPU:8.3,MEM:62.36
04:06,CPU:9.1,MEM:62.30
04:07,CPU:8.3,MEM:62.24
04:08,CPU:23.1,MEM:62.26
04:09,CPU:8.3,MEM:62.27
04:10,CPU:9.1,MEM:62.24
04:11,CPU:0,MEM:62.24
04:12,CPU:0,MEM:62.19
04:13,CPU:0,MEM:62.26
04:14,CPU:9.1,MEM:62.20
04:15,CPU:8.3,MEM:62.25
04:16,CPU:9.1,MEM:62.28
04:17,CPU:7.7,MEM:62.32
04:18,CPU:15.4,MEM:62.30
04:19,CPU:16.7,MEM:62.23
04:20,CPU:15.4,MEM:62.22
04:21,CPU:8.3,MEM:62.28
04:22,CPU:7.3,MEM:62.25
04:23,CPU:8.3,MEM:62.32
04:24,CPU:14.3,MEM:62.29
04:25,CPU:15.4,MEM:62.24
04:26,CPU:8.3,MEM:62.27
04:27,CPU:8.3,MEM:62.36
04:28,CPU:8.3,MEM:62.33
04:29,CPU:7.7,MEM:62.29
04:30,CPU:9.1,MEM:62.40
04:31,CPU:7.7,MEM:62.34
04:32,CPU:8.3,MEM:62.29
04:33,CPU:14.3,MEM:62.33
04:34,CPU:7.7,MEM:62.26
04:35,CPU:8.3,MEM:62.42
04:36,CPU:26.7,MEM:62.24
04:37,CPU:0,MEM:62.26
04:38,CPU:21.4,MEM:62.36
04:39,CPU:8.3,MEM:62.35
04:40,CPU:8.3,MEM:62.62
04:41,CPU:15.4,MEM:62.44
04:42,CPU:8.3,MEM:62.32
04:43,CPU:15.4,MEM:62.26
04:44,CPU:8.3,MEM:62.31
04:45,CPU:15.4,MEM:63.03
04:46,CPU:15.4,MEM:62.34
04:47,CPU:8.3,MEM:62.32
04:48,CPU:8.3,MEM:62.28
04:49,CPU:8.3,MEM:62.28
04:50,CPU:21.4,MEM:62.95
04:51,CPU:8.3,MEM:62.27
04:52,CPU:8.3,MEM:62.32
04:53,CPU:28.6,MEM:62.33
04:54,CPU:16.7,MEM:62.29
04:55,CPU:15.4,MEM:62.28
04:56,CPU:8.3,MEM:62.27
04:57,CPU:8.3,MEM:62.31
04:58,CPU:9.1,MEM:62.37
04:59,CPU:9.1,MEM:62.36
05:00,CPU:9.1,MEM:62.50
05:01,CPU:30.8,MEM:62.74
05:02,CPU:28.6,MEM:62.68
05:03,CPU:23.1,MEM:63.00
05:04,CPU:16.7,MEM:62.88
05:05,CPU:16.7,MEM:62.75
05:06,CPU:21.4,MEM:63.02
05:07,CPU:23.1,MEM:62.97
05:08,CPU:18.2,MEM:62.68
05:09,CPU:23.1,MEM:62.50
05:10,CPU:21.4,MEM:62.85
05:11,CPU:23.1,MEM:62.72
05:12,CPU:23.1,MEM:63.14
05:13,CPU:16.7,MEM:63.08
05:14,CPU:23.1,MEM:62.89
05:15,CPU:30.8,MEM:63.06
05:16,CPU:23.1,MEM:62.84
05:17,CPU:9.1,MEM:62.94
05:18,CPU:16.7,MEM:63.06
05:19,CPU:15.4,MEM:62.84
05:20,CPU:23.1,MEM:63.20
05:21,CPU:15.4,MEM:62.88
05:22,CPU:9.1,MEM:62.77
05:23,CPU:9.1,MEM:62.77
05:24,CPU:18.2,MEM:62.93
05:25,CPU:16.7,MEM:63.03
05:26,CPU:28.6,MEM:63.02
05:27,CPU:16.7,MEM:63.07
05:28,CPU:21.4,MEM:62.68
05:29,CPU:16.7,MEM:62.85
05:30,CPU:16.7,MEM:62.92
05:31,CPU:21.4,MEM:62.65
05:32,CPU:40,MEM:63.02
05:33,CPU:23.1,MEM:63.14
05:34,CPU:26.7,MEM:62.81
05:35,CPU:15.4,MEM:63.17
05:36,CPU:9.1,MEM:63.05
05:37,CPU:23.1,MEM:62.71
05:38,CPU:37.5,MEM:62.53
05:39,CPU:16.7,MEM:62.59
05:40,CPU:15.4,MEM:63.23
05:41,CPU:16.7,MEM:63.35
05:42,CPU:23.1,MEM:62.91
05:43,CPU:28.6,MEM:62.66
05:44,CPU:23.1,MEM:62.60
05:45,CPU:25,MEM:62.72
05:46,CPU:30.8,MEM:63.71
05:47,CPU:23.1,MEM:62.85
05:48,CPU:15.4,MEM:62.82
05:49,CPU:8.3,MEM:62.53
05:50,CPU:21.4,MEM:63.00
05:51,CPU:25,MEM:62.97
05:52,CPU:30.8,MEM:62.78
05:53,CPU:9.1,MEM:62.63
05:54,CPU:15.4,MEM:62.44
05:55,CPU:15.4,MEM:62.98
05:56,CPU:23.1,MEM:62.94
05:57,CPU:21.4,MEM:63.06
05:58,CPU:15.4,MEM:62.68
05:59,CPU:23.1,MEM:62.97
06:00,CPU:25,MEM:62.80
06:01,CPU:16.7,MEM:62.60
06:02,CPU:16.7,MEM:62.64
06:03,CPU:16.7,MEM:62.57
06:04,CPU:14.3,MEM:62.56
06:05,CPU:9.1,MEM:62.63
06:06,CPU:16.7,MEM:63.25
06:07,CPU:16.7,MEM:62.70
06:08,CPU:23.1,MEM:62.91
06:09,CPU:15.4,MEM:62.94
06:10,CPU:9.1,MEM:62.27
06:11,CPU:15.4,MEM:62.18
06:12,CPU:8.3,MEM:62.06
06:13,CPU:8.3,MEM:62.10
06:14,CPU:7.7,MEM:62.14
06:15,CPU:7.7,MEM:62.07
06:16,CPU:8.3,MEM:62.15
06:17,CPU:20,MEM:62.16
06:18,CPU:15.4,MEM:62.07
06:19,CPU:15.4,MEM:62.16
06:20,CPU:8.3,MEM:62.16
06:21,CPU:8.3,MEM:62.19
06:22,CPU:23.1,MEM:62.15
06:23,CPU:8.3,MEM:62.14
06:24,CPU:16.7,MEM:62.18
06:25,CPU:8.3,MEM:62.11
06:26,CPU:0,MEM:62.21
06:27,CPU:9.1,MEM:62.26
06:28,CPU:9.1,MEM:62.19
06:29,CPU:0,MEM:62.11
06:30,CPU:14.3,MEM:62.13
06:31,CPU:8.3,MEM:62.08
06:32,CPU:0,MEM:62.17
06:33,CPU:8.3,MEM:62.15
06:34,CPU:21.4,MEM:62.15
06:35,CPU:15.4,MEM:62.24
06:36,CPU:8.3,MEM:62.17
06:37,CPU:9.1,MEM:62.59
06:38,CPU:15.4,MEM:62.14
06:39,CPU:8.3,MEM:62.16
06:40,CPU:8.3,MEM:62.10
06:41,CPU:15.4,MEM:62.12
06:42,CPU:15.4,MEM:62.32
06:43,CPU:8.3,MEM:62.06
06:44,CPU:9.1,MEM:62.18
06:45,CPU:33.3,MEM:62.09
06:46,CPU:7.7,MEM:62.11
06:47,CPU:23.1,MEM:62.85
06:48,CPU:15.4,MEM:62.21
06:49,CPU:8.3,MEM:62.12
06:50,CPU:8.3,MEM:62.19
06:51,CPU:8.3,MEM:62.15
06:52,CPU:8.3,MEM:62.21
06:53,CPU:8.3,MEM:62.08
06:54,CPU:8.3,MEM:62.11
06:55,CPU:8.3,MEM:62.20
06:56,CPU:8.3,MEM:62.09
06:57,CPU:9.1,MEM:62.15
06:58,CPU:15.4,MEM:62.12
06:59,CPU:26.7,MEM:62.15
