00:00,CPU:8.1,MEM:46.29
00:01,CPU:16.7,MEM:46.19
00:02,CPU:23.1,MEM:46.14
00:03,CPU:0,MEM:46.45
00:04,CPU:8.3,MEM:46.06
00:05,CPU:8.3,MEM:46.05
00:06,CPU:14.3,MEM:46.03
00:07,CPU:16.7,MEM:45.99
00:08,CPU:9.1,MEM:46.72
00:09,CPU:15.4,MEM:46.09
00:10,CPU:0,MEM:46.08
00:11,CPU:8.3,MEM:46.04
00:12,CPU:21.4,MEM:46.10
00:13,CPU:16.7,MEM:46.56
00:14,CPU:8.3,MEM:46.12
00:15,CPU:15.4,MEM:46.32
00:16,CPU:8.3,MEM:46.15
00:17,CPU:8.3,MEM:46.16
00:18,CPU:28.6,MEM:46.52
00:19,CPU:8.3,MEM:46.07
00:20,CPU:33.3,MEM:46.07
00:21,CPU:9.1,MEM:46.14
00:22,CPU:8.3,MEM:46.17
00:23,CPU:7.7,MEM:46.16
00:24,CPU:16.7,MEM:46.18
00:25,CPU:8.3,MEM:46.16
00:26,CPU:8.3,MEM:46.14
00:27,CPU:10,MEM:46.13
00:28,CPU:9.1,MEM:46.17
00:29,CPU:9.1,MEM:46.12
00:30,CPU:15.4,MEM:46.13
00:31,CPU:15.4,MEM:46.13
00:32,CPU:8.3,MEM:46.10
00:33,CPU:15.4,MEM:46.09
00:34,CPU:16.7,MEM:46.09
00:35,CPU:23.1,MEM:46.14
00:36,CPU:33.3,MEM:46.18
00:37,CPU:0,MEM:46.12
00:38,CPU:15.4,MEM:46.07
00:39,CPU:14.3,MEM:46.14
00:40,CPU:15.4,MEM:46.04
00:41,CPU:16.7,MEM:46.06
00:42,CPU:7.7,MEM:46.22
00:43,CPU:25,MEM:46.08
00:44,CPU:8.3,MEM:46.06
00:45,CPU:16.7,MEM:46.11
00:46,CPU:16.7,MEM:46.10
00:47,CPU:9.1,MEM:46.13
00:48,CPU:8.3,MEM:46.09
00:49,CPU:16.7,MEM:46.11
00:50,CPU:23.1,MEM:46.11
00:51,CPU:8.3,MEM:46.11
00:52,CPU:8.3,MEM:46.09
00:53,CPU:0,MEM:46.12
00:54,CPU:9.1,MEM:46.09
00:55,CPU:8.3,MEM:46.13
00:56,CPU:15.4,MEM:46.18
00:57,CPU:25,MEM:46.11
