00:00,CPU:12,MEM:59.54
00:01,CPU:15.4,MEM:59.48
00:02,CPU:14.3,MEM:60.03
00:03,CPU:7.1,MEM:59.26
00:04,CPU:14.3,MEM:59.31
00:05,CPU:8.3,MEM:59.36
00:06,CPU:15.4,MEM:59.34
00:07,CPU:21.4,MEM:59.49
00:08,CPU:7.7,MEM:59.29
00:09,CPU:8.3,MEM:59.36
00:10,CPU:7.7,MEM:59.29
00:11,CPU:15.4,MEM:59.30
00:12,CPU:7.7,MEM:59.33
00:13,CPU:15.4,MEM:59.30
00:14,CPU:7.7,MEM:59.31
00:15,CPU:14.3,MEM:59.32
00:16,CPU:0,MEM:59.37
00:17,CPU:7.7,MEM:59.24
00:18,CPU:8.3,MEM:59.28
00:19,CPU:8.3,MEM:59.24
00:20,CPU:7.7,MEM:59.22
00:21,CPU:15.4,MEM:59.30
00:22,CPU:7.7,MEM:59.30
00:23,CPU:8.3,MEM:59.24
00:24,CPU:15.4,MEM:59.19
00:25,CPU:21.4,MEM:59.33
00:26,CPU:7.7,MEM:59.31
00:27,CPU:15.4,MEM:59.20
00:28,CPU:7.7,MEM:59.25
00:29,CPU:8.3,MEM:59.30
00:30,CPU:7.7,MEM:59.30
00:31,CPU:8.3,MEM:59.22
00:32,CPU:8.3,MEM:59.28
00:33,CPU:7.7,MEM:59.30
00:34,CPU:8.3,MEM:59.28
00:35,CPU:8.3,MEM:59.30
00:36,CPU:7.7,MEM:59.28
00:37,CPU:8.3,MEM:59.25
00:38,CPU:7.7,MEM:59.25
00:39,CPU:15.4,MEM:59.26
00:40,CPU:21.4,MEM:59.24
00:41,CPU:7.7,MEM:59.26
00:42,CPU:13.3,MEM:59.27
00:43,CPU:7.7,MEM:59.28
00:44,CPU:8.3,MEM:59.34
00:45,CPU:7.7,MEM:59.31
00:46,CPU:21.4,MEM:59.29
00:47,CPU:7.7,MEM:59.29
00:48,CPU:15.4,MEM:59.30
00:49,CPU:0,MEM:59.27
00:50,CPU:0,MEM:59.31
00:51,CPU:14.3,MEM:59.29
00:52,CPU:15.4,MEM:59.26
00:53,CPU:14.3,MEM:59.48
00:54,CPU:8.3,MEM:59.25
00:55,CPU:21.4,MEM:59.28
